Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód 1/ATC kód 2;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"PROHANCE 0,5 mmol/ml oldatos injekció;""1 X 10 ml injekciós üvegben"";""OGYI-T-23577/02"";""gadoteridol"";""Bracco Imaging S.P.A."";""V08CA04"";""2020-04-29 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"PROHANCE 0,5 mmol/ml oldatos injekció;""1 X 15 ml injekciós üvegben"";""OGYI-T-23577/03"";""gadoteridol"";""Bracco Imaging S.P.A."";""V08CA04"";""2020-04-29 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"PROHANCE 0,5 mmol/ml oldatos injekció;""1 X 5 ml injekciós üvegben"";""OGYI-T-23577/01"";""gadoteridol"";""Bracco Imaging S.P.A."";""V08CA04"";""2020-04-29 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"PROHANCE 0,5 mmol/ml oldatos injekció elõretöltött fecskendõben;""1 X 10 ml elõretöltött fecskendõben"";""OGYI-T-23577/05"";""gadoteridol"";""Bracco Imaging S.P.A."";""V08CA04"";""2020-04-29 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"PROHANCE 0,5 mmol/ml oldatos injekció elõretöltött fecskendõben;""1 X 15 ml elõretöltött fecskendõben"";""OGYI-T-23577/06"";""gadoteridol"";""Bracco Imaging S.P.A."";""V08CA04"";""2020-04-29 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"PROHANCE 0,5 mmol/ml oldatos injekció elõretöltött fecskendõben;""1 X 17 ml elõretöltött fecskendõben"";""OGYI-T-23577/07"";""gadoteridol"";""Bracco Imaging S.P.A."";""V08CA04"";""2020-04-29 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"PROKAIN-HIDROKLORID TEVA 10 mg/ml oldatos injekció;""1 X 100 ml üvegben"";""OGYI-T-06050/02"";""procaine"";""Teva Gyógyszergyár Zrt."";""N01BA02"";""2021-01-26 00:00:00"";"""";""Gyártási gond"";""A Gytv. 16 § 2.c alapján kontingens kötelezvény"";"
"PROPAFENON PHARMAVIT 150 mg filmtabletta;""90 X   - buborékcsomagolásban"";""OGYI-T-04413/03"";""propafenone"";""Supremex Kft."";""C01BC03"";""2025-08-01 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"PROPAFENON PHARMAVIT 300 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-04413/04"";""propafenone"";""Supremex Kft."";""C01BC03"";""2022-03-01 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"PROPAFENON PHARMAVIT 300 mg filmtabletta;""90 X   - buborékcsomagolásban"";""OGYI-T-04413/06"";""propafenone"";""Supremex Kft."";""C01BC03"";""2022-03-01 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"PROPYCIL 50 mg tabletta;""100 X   - üveg tartályban"";""OGYI-T-01510/01"";""propylthiouracil"";""ADMEDA Arzneimittel GmbH"";""H03BA02"";""2023-12-16 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"PROSTAZYN filmtabletta;""60 X   - HDPE tartályban"";""OGYI-T-22106/02"";""Nettle Root powdered extract;saw palmetto fruit;goldenrod"
"PROTAMIN 1000 NE/ml oldatos injekció;""1 X   - ampulla"";""OGYI-T-05574/01"";""protamine hydrochloride"";""Viatris Healthcare Ltd."";""V03AB14"";""2024-07-22 00:00:00"";""2025-12-31 00:00:00"";""Gyártási gond"";""Kontingens"";"
"PULMALIO 100 mikrogramm/6 mikrogramm adagolt inhalációs por;""2 X 60 adag inhalátorban"";""OGYI-T-22876/01"";""budesonide;formoterol fumarate dihydrate"";""PannonPharma Kft."";""R03AK07"";""2022-08-26 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"PULMALIO 200 mikrogramm/6 mikrogramm adagolt inhalációs por;""2 X 60 adag inhalátorban"";""OGYI-T-22876/04"";""budesonide;formoterol fumarate dihydrate"";""PannonPharma Kft."";""R03AK07"";""2022-08-26 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"PULMALIO 400 mikrogramm/12 mikrogramm adagolt inhalációs por;""1 X 60 adag inhalátorban"";""OGYI-T-22876/07"";""budesonide;formoterol fumarate dihydrate"";""PannonPharma Kft."";""R03AK07"";""2022-08-26 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"PYASSAN 250 mg kemény kapszula;""24 X   - buborékcsomagolásban"";""OGYI-T-03569/01"";""cefalexin"";""HGA Biomed Kft."";""J01DB01"";""2021-09-01 00:00:00"";"""";""Hatóanyag"
"Pegasys 135 mikrogramm oldatos injekció elõretöltött fecskendõben;""4 X   - elõretöltött fecskendõben"";""EU/1/02/221/006"";""peginterferon alfa-2a"";""pharmaand GmbH"";""L03AB11"";""2015-12-31 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Pelmeg 6 mg oldatos injekció elõretöltött fecskendõben;""1 X 0.6 ml elõretöltött fecskendõben"";""EU/1/18/1328/001"";""pegfilgrastim"";""Mundipharma Corporation (Ireland) Ltd."";""L03AA13"";""2024-03-18 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"Pergoveris 150 NE/75 NE por és oldószer oldatos injekcióhoz;""1 X   - porampulla+oldószerampulla"";""EU/1/07/396/001"";""follitropin alfa;lutropin alfa"";""Merck Europe B.V. "";""G03GA30"";""2025-10-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Posaconazole Accord 100 mg gyomornedv-ellenálló tabletta;""24 X 1 - adagonként perforált buborékcsomagolásban"";""EU/1/19/1379/002"";""posaconazole"";""Accord Healthcare S.L.U."";""J02AC04"";""2025-01-17 00:00:00"";"""";""Adminisztratív okok"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Posaconazole Accord 100 mg gyomornedv-ellenálló tabletta;""96 X   - buborékcsomagolásban"";""EU/1/19/1379/003"";""posaconazole"";""Accord Healthcare S.L.U."";""J02AC04"";""2021-09-15 00:00:00"";"""";""Megnövekedett igény"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Posaconazole Accord 100 mg gyomornedv-ellenálló tabletta;""96 X 1 - adagonként perforált buborékcsomagolásban"";""EU/1/19/1379/004"";""posaconazole"";""Accord Healthcare S.L.U."";""J02AC04"";""2021-09-15 00:00:00"";"""";""Megnövekedett igény"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Praluent  75 mg oldatos injekció elõretöltött injekciós tollban;""2 X 1 ml elõretöltött injekciós tollban"";""EU/1/15/1031/002"";""alirocumab"";""Sanofi Winthrop Industrie"";""C10AX14"";""2024-06-03 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"Praluent 150 mg oldatos injekció elõretöltött injekciós tollban;""2 X 1 ml elõretöltött injekciós tollban"";""EU/1/15/1031/008"";""alirocumab"";""Sanofi Winthrop Industrie"";""C10AX14"";""2024-06-03 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"Pramipexole Teva 0,088 mg tabletta;""30 X   - buborékcsomagolásban"";""EU/1/08/490/001"";""pramipexole"";""Teva B.V."";""N04BC05"";""2015-08-01 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Pramipexole Teva 0,18 mg tabletta;""30 X   - buborékcsomagolásban"";""EU/1/08/490/005"";""pramipexole"";""Teva B.V."";""N04BC05"";""2015-08-01 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Pramipexole Teva 0,7 mg tabletta;""30 X   - buborékcsomagolásban"";""EU/1/08/490/013"";""pramipexole"";""Teva B.V."";""N04BC05"";""2015-08-01 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Prevenar 13 szuszpenziós injekció;""1 X 0.5 ml elõretöltött fecskendõben"";""EU/1/09/590/002"";""vakcina (bakteriális)"";""Pfizer Europe MA EEIG "";""J07AL02"";""2023-12-15 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"Prezista 600 mg filmtabletta;""60 X   - HDPE tartályban"";""EU/1/06/380/002"";""darunavir"";""Janssen-Cilag International NV"";""J05AE10"";""2018-08-30 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Prezista 600 mg filmtabletta;""60 X   - HDPE tartályban"";""EU/1/06/380/002"";""darunavir"";""Janssen-Cilag International NV"";""J05AE10"";""2018-11-26 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Prezista 800 mg filmtabletta;""30 X   - HDPE tartályban"";""EU/1/06/380/007"";""darunavir"";""Janssen-Cilag International NV"";""J05AE10"";""2018-08-30 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Prezista 800 mg filmtabletta;""30 X   - HDPE tartályban"";""EU/1/06/380/007"";""darunavir"";""Janssen-Cilag International NV"";""J05AE10"";""2018-11-26 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Pritor 40 mg tabletta;""28 X   - "";""EU/1/98/089/002"";""telmisartan"";""Bayer AG"";""C09CA07"";""2022-04-19 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Pritor Plus 40 mg/12,5 mg tabletta;""28 X   - "";""EU/1/02/215/002"";""telmisartan;hydrochlorothiazide"";""Bayer AG"";""C09DA07"";""2022-12-12 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Pritor Plus 80 mg/12,5 mg tabletta;""28 X   - "";""EU/1/02/215/007"";""telmisartan;hydrochlorothiazide"";""Bayer AG"";""C09DA07"";""2023-11-24 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Pritor Plus 80 mg/25 mg tabletta;""28 X   - "";""EU/1/02/215/016"";""telmisartan;hydrochlorothiazide"";""Bayer AG"";""C09DA07"";""2019-05-10 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Protopic 0,03% kenõcs;""1 X 10 g -"";""EU/1/02/201/005"";""tacrolimus"";""Leo Pharma A/S"";""D11AX14"";""2020-03-10 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Protopic 0,1% kenõcs;""1 X 10 g -"";""EU/1/02/201/006"";""tacrolimus"";""Leo Pharma A/S"";""D11AX14"";""2020-03-10 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Puregon 300 NE/0,36 ml oldatos injekció;""1 X   - patronban"";""EU/1/96/008/038"";""follitropin beta"";""N.V. Organon"";""G03GA06"";""2018-12-31 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Puregon 600 NE/0,72 ml oldatos injekció;""1 X   - patronban"";""EU/1/96/008/039"";""follitropin beta"";""N.V. Organon"";""G03GA06"";""2018-12-31 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"QUETIAPINE-TEVA  50 mg retard tabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-20839/17"";""quetiapine"";""Teva Gyógyszergyár Zrt."";""N05AH04"";""2025-08-05 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"QUETIAPINE-TEVA 400 mg retard tabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-20839/22"";""quetiapine"";""Teva Gyógyszergyár Zrt."";""N05AH04"";""2025-08-26 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Qutenza 179 mg külsõleges tapasz;""1 X   - tasakban"";""EU/1/09/524/001"";""capsaicin"";""Grünenthal GmbH"";""N01BX04"";""2017-07-13 00:00:00"";"""";""Piaci megfontolások"";""Kontingens"";"
"Qutenza 179 mg külsõleges tapasz;""2 X   - tasakban"";""EU/1/09/524/002"";""capsaicin"";""Grünenthal GmbH"";""N01BX04"";""2017-07-13 00:00:00"";"""";""Piaci megfontolások"";""Kontingens"";"
"RABEPRAZOL-TEVA 20 mg gyomornedv-ellenálló tabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-21622/02"";""rabeprazole"";""Teva Gyógyszergyár Zrt."";""A02BC04"";""2024-04-16 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"RABYPREX 20 mg gyomornedv-ellenálló tabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-20811/05"";""rabeprazole"";""Teva Gyógyszergyár Zrt."";""A02BC04"";""2024-01-23 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"RABYPREX 20 mg gyomornedv-ellenálló tabletta;""56 X   - buborékcsomagolásban"";""OGYI-T-20811/06"";""rabeprazole"";""Teva Gyógyszergyár Zrt."";""A02BC04"";""2023-09-04 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"RALGEN SR 100 mg retard tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-20310/03"";""tramadol"";""Zentiva"
"RALGEN SR 100 mg retard tabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-20310/04"";""tramadol"";""Zentiva"
"RALGEN SR 150 mg retard tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-20310/07"";""tramadol"";""Zentiva"
"RALGEN SR 150 mg retard tabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-20310/08"";""tramadol"";""Zentiva"
"RALGEN SR 200 mg retard tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-20310/11"";""tramadol"";""Zentiva"
"RALGEN SR 200 mg retard tabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-20310/12"";""tramadol"";""Zentiva"
"RAMIPRIL HCT-ZENTIVA 5 mg/25 mg tabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-10606/01"";""ramipril;hydrochlorothiazide"";""Zentiva"
"RAZAGILIN SANDOZ 1 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22949/01"";""rasagiline"";""Sandoz Hungária Kft."";""N04BD02"";""2025-09-10 00:00:00"";""2025-11-30 00:00:00"";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"RELTEBON 80 mg retard tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22673/26"";""oxycodone hydrochloride"";""Actavis Group PTC ehf."";""N02AA05"";""2025-08-01 00:00:00"";""2025-12-01 00:00:00"";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"REMUREL 20 mg/ml oldatos injekció elõretöltött fecskendõben;""28 X   - elõretöltött fecskendõben"";""OGYI-T-23013/02"";""glatiramer acetate"";""Zentiva"
"RENNIE cukormentes rágótabletta;""24 X   - buborékcsomagolásban"";""OGYI-T-05036/08"";""calcium carbonate;magnesium carbonate"";""Bayer Hungária Kft."";""A02AD"";""2019-10-31 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"REPARON végbélkenõcs;""1 X 25 g Al tubusban"";""OGYI-T-09005/01"";""baktérium liofilizátum"";""Egis Gyógyszergyár Zrt."";""C05AX03"";""2021-04-13 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"REPARON végbélkúp;""10 X   - -"";""OGYI-T-09005/02"";""baktérium liofilizátum"";""Egis Gyógyszergyár Zrt."";""C05AX03"";""2021-04-13 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"RESEPTYL-UREA külsõleges por;""1 X 10 g PP tartályban"";""OGYI-T-03301/01"";""chloroseptyl"";""Wagner-Pharma Kft."";""D06BA19"";""2023-06-21 00:00:00"";"""";""Hatóanyag"
"RESTIGULIN 15 mg tabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-22841/06"";""aripiprazole"";""Richter Gedeon Nyrt."";""N05AX12"";""2025-10-14 00:00:00"";""2025-11-30 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"RHINATHIOL 1,33 mg/ml köhögéscsillapító szirup felnõtteknek;""1 X 200 ml üvegben"";""OGYI-T-09257/02"";""dextromethorphan"";""Opella Healthcare Commercial Kft."";""R05DA09"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"RHINATHIOL köptetõ 20 mg/ml szirup gyermekeknek;""1 X 125 ml üvegben"";""OGYI-T-06607/01"";""carbocisteine"";""Opella Healthcare Commercial Kft."";""R05CB03"";""2025-07-02 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"RHINATHIOL köptetõ 50 mg/ml szirup felnõtteknek;""1 X 200 ml üvegben"";""OGYI-T-06607/03"";""carbocisteine"";""Opella Healthcare Commercial Kft."";""R05CB03"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"RIFAMED 150 mg filmtabletta;""100 X   - tartályban"";""OGYI-T-04623/01"";""rifampicin"";""PannonPharma Kft."";""J04AB02"";""2023-11-21 00:00:00"";"""";""Hatóanyag"
"RIFAZID 300 mg/150 mg filmtabletta;""100 X   - tartályban"";""OGYI-T-04555/02"";""isoniazid;rifampicin"";""PannonPharma Kft."";""J04AM02"";""2024-01-23 00:00:00"";"""";""Hatóanyag"
"RINDEX  50 mg/ml oldatos infúzió;""1 X 500 ml mûanyag zsákban"";""OGYI-T-09727/04"";""electrolits"";""Teva Gyógyszergyár Zrt."";""B05BB02"";""2024-06-10 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"RINDEX 100 mg/ml oldatos infúzió;""1 X 500 ml mûanyag zsákban"";""OGYI-T-09727/06"";""electrolits"";""Teva Gyógyszergyár Zrt."";""B05BB02"";""2024-12-11 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"RINGER EUROLIFE oldatos infúzió;""10 X 1000 ml infúziós zsákban"";""OGYI-T-24232/02"";""sodium chloride;calcium chloride dihydrate;potassium chloride"";""Eurolife Healthcare Hungary Kft."";""B05BB01"";""2024-08-07 00:00:00"";"""";""Hivatalbóli megállapítás"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"RINGER EUROLIFE oldatos infúzió;""20 X 500 ml infúziós zsákban"";""OGYI-T-24232/01"";""sodium chloride;calcium chloride dihydrate;potassium chloride"";""Eurolife Healthcare Hungary Kft."";""B05BB01"";""2024-08-07 00:00:00"";"""";""Hivatalbóli megállapítás"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"RINGER LAKTÁT Hartmann Baxter"" oldatos infúzió"";""10 X 1000 ml infúziós zsákban"";""OGYI-T-09472/03"";""sodium chloride;calcium chloride;potassium chloride;sodium lactate"";""Baxter Hungary Kft."";""B05BB01"";""2024-11-21 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"RINGER LAKTÁT-HARTMANN TEVA oldatos infúzió;""1 X 500 ml mûanyag tartályban"";""OGYI-T-06189/04"";""electrolits"";""Teva Gyógyszergyár Zrt."";""B05BB01"";""2022-01-28 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"RINGER-LAKTÁT EUROLIFE oldatos infúzió;""10 X 1000 ml infúziós zsákban"";""OGYI-T-24261/02"";""calcium chloride dihydrate;sodium chloride;sodium lactate solution;potassium chloride"";""Eurolife Healthcare Hungary Kft."";""B05BB01"";""2024-08-07 00:00:00"";"""";""Hivatalbóli megállapítás"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"RINGER-LAKTÁT EUROLIFE oldatos infúzió;""20 X 500 ml infúziós zsákban"";""OGYI-T-24261/01"";""calcium chloride dihydrate;sodium chloride;sodium lactate solution;potassium chloride"";""Eurolife Healthcare Hungary Kft."";""B05BB01"";""2024-09-13 00:00:00"";"""";""Hivatalbóli megállapítás"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"RINGER-LAKTÁT Fresenius oldatos infúzió;""20 X 500 ml KabiPac"";""OGYI-T-09223/14"";""sodium chloride;potassium chloride"";""Fresenius Kabi Deutschland GmbH"";""B05BB01"";""2025-10-07 00:00:00"";""2025-11-30 00:00:00"";""Megnövekedett igény"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"RINGER-TEVA oldatos infúzió;""1 X 500 ml mûanyag tartályban"";""OGYI-T-05890/08"";""electrolits"";""Teva Gyógyszergyár Zrt."";""B05BB01"";""2022-06-24 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"RISEBONE DUO MAX filmtabletta;""4x35 mg + 1 X 30000 NE buborékcsomagolásban"";""OGYI-T-22651/02"";""risedronic acid;cholecalciferol"";""Pharma Patent Kft."";""M05BB07"";""2020-03-16 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"RISPERDAL CONSTA 50 mg por és oldószer retard szuszpenziós injekcióhoz;""1 X   - porampulla"";""OGYI-T-08812/06"";""risperidone"";""Janssen-Cilag Kft."";""N05AX08"";""2025-11-05 00:00:00"";""2025-11-17 00:00:00"";""Megnövekedett igény"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"RISPERIDONE TEVA 25 mg por és oldószer retard szuszpenziós injekcióhoz;""1 X   - ampulla"";""OGYI-T-23782/01"";""risperidone"";""Teva Gyógyszergyár Zrt."";""N05AX08"";""2025-05-29 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"RISPERIDONE TEVA 37,5 mg por és oldószer retard szuszpenziós injekcióhoz;""1 X   - ampulla"";""OGYI-T-23782/02"";""risperidone"";""Teva Gyógyszergyár Zrt."";""N05AX08"";""2025-02-18 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"RISPERIDONE TEVA 50 mg por és oldószer retard szuszpenziós injekcióhoz;""1 X   - ampulla"";""OGYI-T-23782/03"";""risperidone"";""Teva Gyógyszergyár Zrt."";""N05AX08"";""2025-05-29 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"RIVAROXABAN TEVA 10 mg filmtabletta;""10 X 1 - adagonként perforált buborékcsomagolásban"";""OGYI-T-23816/03"";""rivaroxaban"";""TEVA GmbH"";""B01AF01"";""2024-05-07 00:00:00"";""2026-01-19 00:00:00"";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"RIVAROXABAN TEVA 10 mg filmtabletta;""30 X 1 - adagonként perforált buborékcsomagolásban"";""OGYI-T-23816/04"";""rivaroxaban"";""TEVA GmbH"";""B01AF01"";""2024-05-07 00:00:00"";""2026-01-19 00:00:00"";""Megnövekedett igény"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"RIVAROXABAN TEVA 15 mg filmtabletta;""28 X 1 - adagonként perforált buborékcsomagolásban"";""OGYI-T-23816/06"";""rivaroxaban"";""TEVA GmbH"";""B01AF01"";""2024-05-24 00:00:00"";""2026-01-19 00:00:00"";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"RIVAROXABAN TEVA 20 mg filmtabletta;""28 X 1 - adagonként perforált buborékcsomagolásban"";""OGYI-T-23816/08"";""rivaroxaban"";""TEVA GmbH"";""B01AF01"";""2024-05-24 00:00:00"";""2026-01-19 00:00:00"";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ROCURONIUM KALCEKS 10 mg/ml oldatos injekció vagy infúzió;""10 X   - injekciós üvegben"";""OGYI-T-23479/01"";""rocuronium bromide"";""AS KALCEKS"";""M03AC09"";""2024-06-01 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"ROCURONIUM ROMPHARM 10 mg/ml oldatos injekció vagy infúzió;""5 X 5 ml injekciós üvegben"";""OGYI-T-24429/01"";""rocuronium bromide"";""S.C. Rompharm Company S.R.L."";""M03AC09"";""2025-01-29 00:00:00"";""2025-12-31 00:00:00"";""Gyártási gond"";""Azonos hatóanyag"
"ROPINIROLE ORION 4 mg retard tabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-22482/02"";""ropinirole"";""Orion Corporation"";""N04BC04"";""2025-04-19 00:00:00"";""2026-03-31 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"ROSUVASTATIN SANDOZ  5 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-21423/02"";""rosuvastatin"";""Sandoz Hungária Kft."";""C10AA07"";""2024-04-03 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ROSUVASTATIN SANDOZ  5 mg filmtabletta;""90 X   - buborékcsomagolásban"";""OGYI-T-21423/17"";""rosuvastatin"";""Sandoz Hungária Kft."";""C10AA07"";""2024-01-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ROSUVASTATIN SANDOZ 10 mg filmtabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-21423/08"";""rosuvastatin"";""Sandoz Hungária Kft."";""C10AA07"";""2025-01-23 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ROSUVASTATIN SANDOZ 10 mg filmtabletta;""90 X   - buborékcsomagolásban"";""OGYI-T-21423/18"";""rosuvastatin"";""Sandoz Hungária Kft."";""C10AA07"";""2023-12-21 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
